,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122755335,7792131,599.203,291.35,7.2,237.53,7.4,1.01,7.6,7.8,218.19,8.0,264.47,8.2,202.96,,,,,0.12820512820512822,0.13157894736842105,0.9853280053280054,1.018592969143031
1,1.122755335,587042,599.203,458.94,6.4,456.78,6.6,307.68,6.8,7.0,352.24,7.2,319.86,7.4,195.81,,,,,0.14285714285714285,0.14705882352941177,0.9853280053280054,1.018592969143031
2,1.122755335,6896668,599.203,149.24,5.7,261.11,5.8,220.55,5.9,6.0,192.44,6.2,386.12,6.4,319.82,,,,,0.16666666666666666,0.1694915254237288,0.9853280053280054,1.018592969143031
3,1.122755335,6062499,599.203,188.69,7.2,219.05,7.4,176.9,7.6,7.8,26.88,8.0,228.14,8.2,58.94,,,,,0.12820512820512822,0.13157894736842105,0.9853280053280054,1.018592969143031
4,1.122755335,7275383,599.203,190.02,9.4,107.76,9.6,16.27,9.8,10.0,110.8,10.5,128.79,11.0,85.28,,,,,0.1,0.1020408163265306,0.9853280053280054,1.018592969143031
5,1.122755335,3655955,599.203,141.76,11.0,153.48,11.5,88.32,12.0,12.5,72.14,13.0,153.91,13.5,53.21,,,,,0.08,0.08333333333333333,0.9853280053280054,1.018592969143031
6,1.122755335,8587856,599.203,205.73,10.5,199.93,11.0,155.43,11.5,12.0,11.17,12.5,68.76,13.0,59.68,,,,,0.08333333333333333,0.08695652173913043,0.9853280053280054,1.018592969143031
7,1.122755335,5512057,599.203,7.94,15.0,29.8,15.5,3.11,16.0,16.5,18.26,17.0,37.28,17.5,36.51,,,,,0.06060606060606061,0.0625,0.9853280053280054,1.018592969143031
8,1.122755335,6002665,599.203,45.91,17.5,60.93,18.0,2.75,18.5,20.0,24.55,21.0,23.62,22.0,17.63,,,,,0.05,0.05405405405405406,0.9853280053280054,1.018592969143031
9,1.122755335,5500754,599.203,68.66,19.0,39.77,19.5,33.06,20.0,22.0,15.37,23.0,64.02,24.0,12.39,,,,,0.045454545454545456,0.05,0.9853280053280054,1.018592969143031
10,1.122755335,7792131,598.202,291.35,7.2,237.53,7.4,1.01,7.6,7.8,243.19,8.0,264.47,8.2,202.96,,,,,0.12820512820512822,0.13157894736842105,0.9853280053280054,1.018592969143031
11,1.122755335,587042,598.202,458.94,6.4,456.78,6.6,307.68,6.8,7.0,352.24,7.2,319.86,7.4,195.81,,,,,0.14285714285714285,0.14705882352941177,0.9853280053280054,1.018592969143031
12,1.122755335,6896668,598.202,149.24,5.7,261.11,5.8,220.55,5.9,6.0,195.49,6.2,386.12,6.4,319.82,,,,,0.16666666666666666,0.1694915254237288,0.9853280053280054,1.018592969143031
13,1.122755335,6062499,598.202,190.21,7.2,219.05,7.4,174.9,7.6,7.8,19.3,8.0,228.14,8.2,58.94,7.6,4.0,7.8,15.159999999999854,0.12820512820512822,0.13157894736842105,0.9853280053280054,1.018592969143031
14,1.122755335,7275383,598.202,190.02,9.4,107.76,9.6,16.27,9.8,10.0,110.8,10.5,128.79,11.0,85.28,,,,,0.1,0.1020408163265306,0.9853280053280054,1.018592969143031
15,1.122755335,3655955,598.202,141.76,11.0,153.48,11.5,88.32,12.0,12.5,72.14,13.0,153.91,13.5,53.21,,,,,0.08,0.08333333333333333,0.9853280053280054,1.018592969143031
16,1.122755335,8587856,598.202,205.73,10.5,199.93,11.0,155.43,11.5,12.0,11.17,12.5,68.76,13.0,59.68,,,,,0.08333333333333333,0.08695652173913043,0.9853280053280054,1.018592969143031
17,1.122755335,5512057,598.202,7.94,15.0,29.8,15.5,3.11,16.0,16.5,18.26,17.0,37.28,17.5,36.51,,,,,0.06060606060606061,0.0625,0.9853280053280054,1.018592969143031
18,1.122755335,6002665,598.202,45.91,17.5,60.93,18.0,2.75,18.5,20.0,24.55,21.0,23.62,22.0,17.63,,,,,0.05,0.05405405405405406,0.9853280053280054,1.018592969143031
19,1.122755335,5500754,598.202,68.66,19.0,39.77,19.5,33.06,20.0,22.0,15.37,23.0,64.02,24.0,12.39,,,,,0.045454545454545456,0.05,0.9853280053280054,1.018592969143031
20,1.122755335,7792131,597.197,291.35,7.2,237.53,7.4,1.01,7.6,7.8,243.19,8.0,264.47,8.2,202.96,,,,,0.12820512820512822,0.13157894736842105,0.9853280053280054,1.018592969143031
21,1.122755335,587042,597.197,458.94,6.4,456.78,6.6,307.68,6.8,7.0,362.24,7.2,319.86,7.4,195.81,,,,,0.14285714285714285,0.14705882352941177,0.9853280053280054,1.018592969143031
22,1.122755335,6896668,597.197,149.24,5.7,261.11,5.8,220.55,5.9,6.0,195.49,6.2,386.12,6.4,319.82,,,,,0.16666666666666666,0.1694915254237288,0.9853280053280054,1.018592969143031
23,1.122755335,6062499,597.197,190.21,7.2,219.05,7.4,174.9,7.6,7.8,19.3,8.0,228.14,8.2,58.94,,,,,0.12820512820512822,0.13157894736842105,0.9853280053280054,1.018592969143031
24,1.122755335,7275383,597.197,190.02,9.4,107.76,9.6,16.27,9.8,10.0,110.8,10.5,128.79,11.0,85.28,,,,,0.1,0.1020408163265306,0.9853280053280054,1.018592969143031
25,1.122755335,3655955,597.197,141.76,11.0,153.48,11.5,88.32,12.0,12.5,72.14,13.0,153.91,13.5,53.21,,,,,0.08,0.08333333333333333,0.9853280053280054,1.018592969143031
26,1.122755335,8587856,597.197,205.73,10.5,199.93,11.0,155.43,11.5,12.0,11.17,12.5,68.76,13.0,59.68,,,,,0.08333333333333333,0.08695652173913043,0.9853280053280054,1.018592969143031
27,1.122755335,5512057,597.197,5.61,15.0,32.13,15.5,3.11,16.0,16.5,18.26,17.0,37.28,17.5,36.51,,,,,0.06060606060606061,0.0625,0.9853280053280054,1.018592969143031
28,1.122755335,6002665,597.197,45.91,17.5,60.93,18.0,2.75,18.5,20.0,24.55,21.0,23.62,22.0,17.63,,,,,0.05,0.05405405405405406,0.9853280053280054,1.018592969143031
29,1.122755335,5500754,597.197,68.66,19.0,39.77,19.5,33.06,20.0,22.0,15.37,23.0,64.02,24.0,12.39,,,,,0.045454545454545456,0.05,0.9853280053280054,1.018592969143031
30,1.122755335,7792131,596.193,291.35,7.2,266.64,7.4,1.01,7.6,7.8,243.19,8.0,264.47,8.2,202.96,,,,,0.12820512820512822,0.13157894736842105,0.987368821654536,1.0207188194831671
31,1.122755335,587042,596.193,458.94,6.4,456.78,6.6,307.68,6.8,7.0,362.24,7.2,319.86,7.4,195.81,,,,,0.14285714285714285,0.14705882352941177,0.987368821654536,1.0207188194831671
32,1.122755335,6896668,596.193,149.24,5.7,261.11,5.8,211.05,5.9,6.0,195.49,6.2,386.12,6.4,319.82,5.9,19.0,5.9,19.0,0.16666666666666666,0.1694915254237288,0.987368821654536,1.0207188194831671
33,1.122755335,6062499,596.193,190.21,7.2,219.05,7.4,174.9,7.6,7.8,19.3,8.0,228.14,8.2,58.94,,,,,0.12820512820512822,0.13157894736842105,0.987368821654536,1.0207188194831671
34,1.122755335,7275383,596.193,130.69,9.2,190.02,9.4,44.61,9.6,9.8,75.93,10.0,149.75,10.5,128.79,9.8,32.54000000000002,9.8,32.54000000000002,0.1020408163265306,0.10416666666666667,0.987368821654536,1.0207188194831671
35,1.122755335,3655955,596.193,141.76,11.0,153.48,11.5,88.32,12.0,12.5,72.14,13.0,153.91,13.5,53.21,,,,,0.08,0.08333333333333333,0.987368821654536,1.0207188194831671
36,1.122755335,8587856,596.193,205.73,10.5,199.93,11.0,155.43,11.5,12.0,11.17,12.5,68.76,13.0,59.68,,,,,0.08333333333333333,0.08695652173913043,0.987368821654536,1.0207188194831671
37,1.122755335,5512057,596.193,18.16,15.0,32.13,15.5,3.11,16.0,16.5,18.26,17.0,37.28,17.5,36.51,,,,,0.06060606060606061,0.0625,0.987368821654536,1.0207188194831671
38,1.122755335,6002665,596.193,58.69,17.5,60.93,18.0,2.75,18.5,20.0,24.55,21.0,23.62,22.0,17.63,,,,,0.05,0.05405405405405406,0.987368821654536,1.0207188194831671
39,1.122755335,5500754,596.193,68.66,19.0,52.29,19.5,33.06,20.0,22.0,15.37,23.0,64.02,24.0,12.39,,,,,0.045454545454545456,0.05,0.987368821654536,1.0207188194831671
40,1.122755335,7792131,595.188,291.35,7.2,266.64,7.4,1.01,7.6,7.8,243.19,8.0,264.47,8.2,202.96,,,,,0.12820512820512822,0.13157894736842105,0.9886508729365873,1.0207188194831671
41,1.122755335,587042,595.188,458.94,6.4,475.57,6.6,285.59,6.8,7.0,362.24,7.2,319.86,7.4,195.81,,,,,0.14285714285714285,0.14705882352941177,0.9886508729365873,1.0207188194831671
42,1.122755335,6896668,595.188,149.24,5.7,261.11,5.8,211.05,5.9,6.0,195.49,6.2,386.12,6.4,319.82,,,,,0.16666666666666666,0.1694915254237288,0.9886508729365873,1.0207188194831671
43,1.122755335,6062499,595.188,190.21,7.2,219.05,7.4,174.9,7.6,7.8,19.3,8.0,228.14,8.2,58.94,,,,,0.12820512820512822,0.13157894736842105,0.9886508729365873,1.0207188194831671
44,1.122755335,7275383,595.188,130.69,9.2,174.2,9.4,44.61,9.6,9.8,75.78,10.0,149.75,10.5,128.79,,,,,0.1020408163265306,0.10416666666666667,0.9886508729365873,1.0207188194831671
45,1.122755335,3655955,595.188,141.76,11.0,153.48,11.5,88.32,12.0,12.5,72.14,13.0,153.91,13.5,53.21,,,,,0.08,0.08333333333333333,0.9886508729365873,1.0207188194831671
46,1.122755335,8587856,595.188,205.73,10.5,199.93,11.0,155.28,11.5,12.0,8.41,12.5,68.76,13.0,59.68,12.0,9.519999999999982,12.0,9.519999999999982,0.08333333333333333,0.08695652173913043,0.9886508729365873,1.0207188194831671
47,1.122755335,5512057,595.188,18.16,15.0,32.13,15.5,3.11,16.0,16.5,18.26,17.0,37.28,17.5,36.51,,,,,0.06060606060606061,0.0625,0.9886508729365873,1.0207188194831671
48,1.122755335,6002665,595.188,58.69,17.5,60.93,18.0,2.75,18.5,19.5,14.28,20.0,20.65,21.0,23.62,,,,,0.05128205128205128,0.05405405405405406,0.9886508729365873,1.0207188194831671
49,1.122755335,5500754,595.188,68.66,19.0,52.29,19.5,33.06,20.0,22.0,15.37,23.0,64.02,24.0,12.39,,,,,0.045454545454545456,0.05,0.9886508729365873,1.0207188194831671
50,1.122755335,7792131,594.183,303.36,7.0,291.35,7.2,262.65,7.4,7.8,243.19,8.0,264.47,8.2,202.96,7.4,7.9799999999999045,7.6,2.019999999999982,0.12820512820512822,0.13513513513513511,0.9854457447314591,1.0209011880865884
51,1.122755335,587042,594.183,458.94,6.4,485.57,6.6,285.59,6.8,7.0,362.24,7.2,319.86,7.4,195.81,,,,,0.14285714285714285,0.14705882352941177,0.9854457447314591,1.0209011880865884
52,1.122755335,6896668,594.183,149.24,5.7,261.11,5.8,211.05,5.9,6.0,195.49,6.2,386.12,6.4,319.82,,,,,0.16666666666666666,0.1694915254237288,0.9854457447314591,1.0209011880865884
53,1.122755335,6062499,594.183,226.4,7.4,74.9,7.6,157.92,7.8,8.0,221.76,8.2,58.94,8.4,51.79,7.6,200.0,7.8,76.80000000000018,0.125,0.12820512820512822,0.9854457447314591,1.0209011880865884
54,1.122755335,7275383,594.183,119.12,9.2,174.2,9.4,36.5,9.6,9.8,75.78,10.0,149.75,10.5,133.04,9.6,4.0,9.6,4.0,0.1020408163265306,0.10416666666666667,0.9854457447314591,1.0209011880865884
55,1.122755335,3655955,594.183,141.76,11.0,153.48,11.5,88.32,12.0,12.5,72.14,13.0,153.91,13.5,53.21,,,,,0.08,0.08333333333333333,0.9854457447314591,1.0209011880865884
56,1.122755335,8587856,594.183,205.73,10.5,199.93,11.0,155.28,11.5,12.0,8.41,12.5,68.76,13.0,59.68,,,,,0.08333333333333333,0.08695652173913043,0.9854457447314591,1.0209011880865884
57,1.122755335,5512057,594.183,18.16,15.0,32.13,15.5,3.11,16.0,16.5,18.26,17.0,37.28,17.5,36.51,,,,,0.06060606060606061,0.0625,0.9854457447314591,1.0209011880865884
58,1.122755335,6002665,594.183,58.69,17.5,60.93,18.0,2.75,18.5,19.5,14.28,20.0,20.65,21.0,23.62,,,,,0.05128205128205128,0.05405405405405406,0.9854457447314591,1.0209011880865884
59,1.122755335,5500754,594.183,68.66,19.0,52.29,19.5,33.06,20.0,22.0,15.37,23.0,64.02,24.0,12.39,,,,,0.045454545454545456,0.05,0.9854457447314591,1.0209011880865884
60,1.122755335,7792131,593.178,303.36,7.0,291.35,7.2,262.65,7.4,7.8,243.19,8.0,264.47,8.2,202.96,7.6,7.589999999999918,7.6,7.589999999999918,0.12820512820512822,0.13513513513513511,0.9854457447314591,1.0209011880865884
61,1.122755335,587042,593.178,458.94,6.4,485.57,6.6,285.59,6.8,7.0,362.24,7.2,319.86,7.4,195.81,,,,,0.14285714285714285,0.14705882352941177,0.9854457447314591,1.0209011880865884
62,1.122755335,6896668,593.178,149.24,5.7,261.11,5.8,211.05,5.9,6.0,195.49,6.2,386.12,6.4,319.82,,,,,0.16666666666666666,0.1694915254237288,0.9854457447314591,1.0209011880865884
63,1.122755335,6062499,593.178,226.4,7.4,111.69,7.6,141.68,7.8,8.0,185.62,8.2,58.94,8.4,51.79,7.8,32.460000000000036,7.8,32.460000000000036,0.125,0.12820512820512822,0.9854457447314591,1.0209011880865884
64,1.122755335,7275383,593.178,119.12,9.2,174.2,9.4,36.5,9.6,9.8,75.78,10.0,149.75,10.5,133.04,,,,,0.1020408163265306,0.10416666666666667,0.9854457447314591,1.0209011880865884
65,1.122755335,3655955,593.178,141.76,11.0,153.48,11.5,88.32,12.0,12.5,72.14,13.0,153.91,13.5,53.21,,,,,0.08,0.08333333333333333,0.9854457447314591,1.0209011880865884
66,1.122755335,8587856,593.178,205.73,10.5,199.93,11.0,155.28,11.5,12.0,8.41,12.5,68.76,13.0,59.68,,,,,0.08333333333333333,0.08695652173913043,0.9854457447314591,1.0209011880865884
67,1.122755335,5512057,593.178,18.16,15.0,32.13,15.5,3.11,16.0,16.5,18.26,17.0,37.28,17.5,36.51,,,,,0.06060606060606061,0.0625,0.9854457447314591,1.0209011880865884
